Mono 1 RA,Mono 2 RA,Mono 1 PA,Mono 2 PA,SA2 Color 1 EPH,SA2 XGM,C1 DT_FS,C2 DT_FS,Mono 1 Insert,Mono 2 Insert,date
0.5,1.268,101.387,63.661,11500.0,615.748,0.0,23.1,1.0,-7.3,2021-11-01 17:34:06
0.53,1.58,101.392,110.1,12900.0,97.177,0.0,21.0,1.0,-7.3,2021-09-25 20:02:02
0.5,1.248,101.387,69.0,11510.0,592.425,0.0,21.1,1.0,-7.5,2021-11-02 12:40:19
0.8,1.28,94.7,45.995,8950.0,27.239,0.0,46.0,1.0,-7.5,2022-03-28 12:58:59
0.5,1.268,101.387,62.825,11510.0,369.281,0.0,21.1,1.0,-7.5,2021-11-02 12:54:53
0.8,1.28,94.7,50.56,8850.0,25.457,0.0,46.0,1.0,-7.5,2022-03-28 12:28:10
0.3,1.28,35.008,73.381,5945.0,65.975,25.0,0.0,-8.2,1.0,2022-03-01 21:04:28
0.74,1.28,112.429,73.381,5945.0,63.692,25.0,0.0,-8.2,1.0,2022-03-01 20:22:55
0.53,1.58,101.392,112.042,12660.0,30.404,0.0,19.1,1.0,-7.5,2021-10-06 14:38:14
0.5,1.268,101.387,63.6,11510.0,183.481,0.0,21.1,1.0,-7.3,2021-11-02 09:31:44
0.5,1.268,101.387,65.148,11510.0,160.227,0.0,21.1,1.0,-7.5,2021-11-02 12:51:08
0.53,1.58,101.392,111.8,12982.0,211.82,0.0,18.0,1.0,-7.5,2021-09-26 20:31:10
0.5,1.268,101.387,62.5,11510.0,150.567,0.0,21.1,1.0,-7.3,2021-11-02 11:03:49
0.8,1.28,94.7,44.4,8950.0,26.906,0.0,46.0,1.0,-7.5,2022-03-28 13:02:15
0.8,1.28,94.7,94.4,5945.0,6.417,22.9,23.0,-7.5,-7.5,2022-03-02 06:08:35
0.53,1.58,101.392,112.508,12770.0,313.347,0.0,19.1,1.0,-7.5,2021-10-06 03:29:01
0.53,1.58,101.392,113.223,12737.0,43.771,0.0,19.1,1.0,-7.5,2021-10-06 16:12:16
0.53,1.58,101.392,111.8,12780.0,107.835,0.0,19.1,1.0,-7.5,2021-10-06 13:40:53
0.53,1.08,101.392,67.943,12900.0,96.347,0.0,21.0,1.0,-7.3,2021-09-25 22:43:34
